学号	姓名	年龄	班级	年级
200810001	赵一含	12	三班	六年级
200810002	薛紫凝	12	三班	六年级
200810003	胡一菲	12	三班	六年级
200810004	张含雨	12	三班	六年级
200810005	李菲菲	12	三班	六年级
200810006	郑爽	12	三班	六年级
200810007	佟丽娅	12	三班	六年级
200810008	曹一兵	12	三班	六年级
200810009	邓紫琪	12	三班	六年级
200810010	艾玲玲	12	三班	六年级
200810011	尹双江	12	三班	六年级
200810012	费翔	12	三班	六年级
200810013	姜雯雯	12	三班	六年级
200810014	蒋大林	12	三班	六年级
200810015	田雨辰	12	三班	六年级
200810016	余颖	12	三班	六年级
200810017	唐文晓	12	三班	六年级
200810018	王晓琳	12	三班	六年级
200810019	谢依依	12	三班	六年级
200810020	葛大妮	12	三班	六年级
200810021	林湘湘	12	三班	六年级
200810022	韩宇飞	12	三班	六年级
200810023	金晶	12	三班	六年级
200810024	赵娜娜	12	三班	六年级
200810025	夏晓楠	12	三班	六年级
200810026	吴天秀	12	三班	六年级
200810027	赵飞燕	12	三班	六年级
200810028	张勇	12	三班	六年级
200810029	李浩	12	三班	六年级
200810030	李晨	12	三班	六年级
200810031	李昊辰	12	三班	六年级
200810032	萧亮	12	三班	六年级
200810033	米朵	12	三班	六年级
200810034	高雯	12	三班	六年级
200810035	刘思雨	12	三班	六年级
200810036	叶琪	12	三班	六年级
200810037	白帆	12	三班	六年级
200810038	陈姝	12	三班	六年级
200810039	王艺博	12	三班	六年级
200810040	陈雅娴	12	三班	六年级
200810041	朱薇薇	12	三班	六年级
200810042	许楚涵	12	三班	六年级
200810043	张雯	12	三班	六年级
200810044	周茜	12	三班	六年级
200810045	陈玥	12	三班	六年级
200810046	朱文超	12	三班	六年级
200810047	马亚楠	12	三班	六年级
200810048	王雅静	12	三班	六年级
200810049	马捷	12	三班	六年级
200810050	丁柳雁	12	三班	六年级
